PROGRAM,BODY,RUNG,OBJECT_TYPE_LIST,ATTRIBUTES
P100_Main1,DeviceOut,9,Data Source/Sink Comments,-安全PLCへ = SAFETY PLC
P100_Main1,MainOut,1,Data Source/Sink Comments,■Main1が統括する各MDへ信号出力 =MODULE OUTPUT
P100_Main1,MainOut,9,Data Source/Sink Comments,■省ｴﾈ運転 ZDB
P100_Main1,MainOut,11,Data Source/Sink Comments,■設備ステータス代入
P101_HMI,MD_In,1,Data Source/Sink Comments,"■流動品番表示 = DISPLAY P/N
        - STRING#'' をHMI表示する品番に置換え  =CHANGE STRING#'' TO P/N EACH MACHINE HAS"
P101_HMI,MD_In,2,Data Source/Sink Comments,"■設備用ｶｳﾝﾀ ｶｳﾝﾄﾀｲﾐﾝｸﾞ
※ｶｳﾝﾄﾀｲﾐﾝｸﾞはHMIのﾀｽｸと同等の周期信号を使用すること =COUNT TIMING BIT SHOULD BE SAME AS HMI TASK SCAN"
P101_HMI,MD_In,32,Data Source/Sink Comments,"サイクルタイム =CYCLE TIME
※ｶｳﾝﾄﾀｲﾐﾝｸﾞはHMIのﾀｽｸと同等の周期信号を使用すること =COUNT TIMING BIT SHOULD BE SAME AS HMI TASK SCAN"
P101_HMI,MD_In,33,Data Source/Sink Comments,■ﾀｲﾏ 計測ﾀｲﾐﾝｸﾞ
P101_HMI,MD_In,39,Data Source/Sink Comments,■段取ﾃﾞｰﾀ・ｶｳﾝﾀ・ﾀｲﾏ
P101_HMI,MD_In,44,Data Source/Sink Comments,"■ZAW 品番別生産ｶｳﾝﾀ　ｶｳﾝﾄﾀｲﾐﾝｸﾞ
※ｶｳﾝﾄﾀｲﾐﾝｸﾞはHMIのﾀｽｸと同等の周期信号を使用すること =COUNT TIMING BIT SHOULD BE SAME AS HMI TASK SCAN"
P101_HMI,TP_Control,1,Data Source/Sink Comments,■画面切換え SCREEN CHANGE
P101_HMI,SetUp_Data,1,Data Source/Sink Comments,初期設定 最大登録品番数=1000 =SETUP DATA INITIAL SETTING. MAXIMUM = 100
P101_HMI,SetUp_Data,2,Data Source/Sink Comments,段取りデータ入力画面切替り時検索結果リセット =RESET THE RESULT WHEN THE SCREEN CHANGE
P101_HMI,SetUp_Data,3,Data Source/Sink Comments,"段取りデータ編集許可 =EDIT SETUP DATA 
        - LD011   0:未検索 / 1:抽出完了 / 2:未登録 / 3:検索中 =0:NOT SEARCHING / 1:SEARCH COMPLETE / 2:NOT REGISTERED / 3:SERCHING"
P101_HMI,SetUp_Data,6,Data Source/Sink Comments,段取りデータ削除許可 DELETE SETUP DATA
P101_HMI,SetUp_Data,9,Data Source/Sink Comments,抽出Assy品番変更時検索結果リセット =RESET THE RESULT WHEN P/N CHANGE
P101_HMI,SetUp_Data,10,Data Source/Sink Comments,Assy品番検索 =ASSY P/N SERCHING
P101_HMI,SetUp_Data,14,Data Source/Sink Comments,Assy品番 未登録先頭検索 =ASSY P/N NOT-REGISTERED TOP SEARCH
P101_HMI,SetUp_Data,35,Data Source/Sink Comments,段取りデータ編集後書込み実行 =WRITE SETUP DATA AFTER EDITED
P101_HMI,SetUp_Data,36,Data Source/Sink Comments,段取データ書込み(編集登録) 段取りデータのみ =WRITE SETUP DATA(EDIT REGISTERED)
P101_HMI,SetUp_Data,37,Data Source/Sink Comments,段取データ書込み(新規登録)=WRITE SETUP DATA(NEW REGISTERED)
P101_HMI,SetUp_Data,38,Data Source/Sink Comments,段取りデータ削除書込み実行 =DELETE SETUP DATA
P101_HMI,SetUp_Data,42,Data Source/Sink Comments,段取りデータ確定PL =SETUP DATA SET PL
P101_HMI,SetUp_Data,44,Data Source/Sink Comments,段取りデータ番号+/-
P101_HMI,SetUp_Data,47,Data Source/Sink Comments,段取上下限データ書込み =SETUP UPPER/LOWER DATA WRITE
P101_HMI,SetUp_Data,108,Data Source/Sink Comments,段取り上下限番号+/-
P101_HMI,SetUp_Data,110,Data Source/Sink Comments,段取上下限データ読出し =READ SETUP UPPER/LOWER DATA
P101_HMI,Counters,1,Data Source/Sink Comments,カウンタ設定値書込み  =WRITE COUNTER VALUE
P101_HMI,Counters,2,Data Source/Sink Comments,カウンタ番号+/-
P101_HMI,Counters,4,Data Source/Sink Comments,カウンタ設定値読出し =READ COUNTER VALUE
P101_HMI,Counters,6,Data Source/Sink Comments,ｶｳﾝﾀ1回路 =COUNTER 1
P101_HMI,Counters,10,Data Source/Sink Comments,ｶｳﾝﾀ2回路 =COUNTER 2
P101_HMI,Counters,14,Data Source/Sink Comments,ｶｳﾝﾀ3回路 =COUNTER 3
P101_HMI,Counters,18,Data Source/Sink Comments,ｶｳﾝﾀ4回路 =COUNTER 4
P101_HMI,Counters,22,Data Source/Sink Comments,ｶｳﾝﾀ5回路 =COUNTER 5
P101_HMI,Counters,26,Data Source/Sink Comments,ｶｳﾝﾀ6回路 =COUNTER 6
P101_HMI,Counters,30,Data Source/Sink Comments,ｶｳﾝﾀ7回路 =COUNTER 7
P101_HMI,Counters,34,Data Source/Sink Comments,ｶｳﾝﾀ8回路 =COUNTER 8
P101_HMI,Counters,38,Data Source/Sink Comments,ｶｳﾝﾀ9回路 =COUNTER 9
P101_HMI,Counters,42,Data Source/Sink Comments,ｶｳﾝﾀ10回路 =COUNTER 10
P101_HMI,Counters,46,Data Source/Sink Comments,ｶｳﾝﾀ11回路 =COUNTER 11
P101_HMI,Counters,50,Data Source/Sink Comments,ｶｳﾝﾀ12回路 =COUNTER 12
P101_HMI,Counters,54,Data Source/Sink Comments,ｶｳﾝﾀ13回路 =COUNTER 13
P101_HMI,Counters,58,Data Source/Sink Comments,ｶｳﾝﾀ14回路 =COUNTER 14
P101_HMI,Counters,62,Data Source/Sink Comments,ｶｳﾝﾀ15回路 =COUNTER 15
P101_HMI,Counters,66,Data Source/Sink Comments,ｶｳﾝﾀ16回路 =COUNTER 16
P101_HMI,Counters,70,Data Source/Sink Comments,ｶｳﾝﾀ17回路 =COUNTER 17
P101_HMI,Counters,74,Data Source/Sink Comments,ｶｳﾝﾀ18回路 =COUNTER 18
P101_HMI,Counters,78,Data Source/Sink Comments,ｶｳﾝﾀ19回路 =COUNTER 19
P101_HMI,Counters,82,Data Source/Sink Comments,ｶｳﾝﾀ20回路 =COUNTER 20
P101_HMI,Counters,86,Data Source/Sink Comments,ｶｳﾝﾀ21回路 =COUNTER 21
P101_HMI,Counters,90,Data Source/Sink Comments,ｶｳﾝﾀ22回路 =COUNTER 22
P101_HMI,Counters,94,Data Source/Sink Comments,ｶｳﾝﾀ23回路 =COUNTER 23
P101_HMI,Counters,98,Data Source/Sink Comments,ｶｳﾝﾀ24回路 =COUNTER 24
P101_HMI,Counters,102,Data Source/Sink Comments,ｶｳﾝﾀ25回路 =COUNTER 25
P101_HMI,Counters,106,Data Source/Sink Comments,ｶｳﾝﾀ26回路 =COUNTER 26
P101_HMI,Counters,110,Data Source/Sink Comments,ｶｳﾝﾀ27回路 =COUNTER 27
P101_HMI,Counters,114,Data Source/Sink Comments,ｶｳﾝﾀ28回路 =COUNTER2 8
P101_HMI,Counters,118,Data Source/Sink Comments,ｶｳﾝﾀ29回路 =COUNTER 29
P101_HMI,Counters,122,Data Source/Sink Comments,ｶｳﾝﾀ30回路 =COUNTER 30
P101_HMI,Counters,126,Data Source/Sink Comments,■ZAW 品番別生産ｶｳﾝﾀ
P101_HMI,Timers,1,Data Source/Sink Comments,ｻｲｸﾙﾀｲﾑ計測 = CYCLE TIME
P101_HMI,Timers,2,Data Source/Sink Comments,演算ﾀｲﾐﾝｸﾞ
P101_HMI,Timers,3,Data Source/Sink Comments,タイマ設定値書込み = WRITE TIMER VALUE
P101_HMI,Timers,4,Data Source/Sink Comments,タイマ番号+/-
P101_HMI,Timers,6,Data Source/Sink Comments,タイマ設定値読出し = REAS TIMER VALUE
P101_HMI,Timers,8,Data Source/Sink Comments,タイマ1回路 =TIMER1
P101_HMI,Timers,10,Data Source/Sink Comments,タイマ2回路 =TIMER2
P101_HMI,Timers,12,Data Source/Sink Comments,タイマ3回路 =TIMER3
P101_HMI,Timers,14,Data Source/Sink Comments,タイマ4回路 =TIMER4
P101_HMI,Timers,16,Data Source/Sink Comments,タイマ5回路 =TIMER5
P101_HMI,Timers,18,Data Source/Sink Comments,タイマ6回路 =TIMER6
P101_HMI,MDAsset_ZFB,1,Data Source/Sink Comments,"入力桁数確認 
CONFIRM INPUT DATA DIGITS"
P101_HMI,MDAsset_ZFB,3,Data Source/Sink Comments,"選択行更新
SELECTED ROW UPDATE"
P101_HMI,MDAsset_ZFB,5,Data Source/Sink Comments,"行追加
ADD ROW"
P101_HMI,MDAsset_ZFB,7,Data Source/Sink Comments,"選択行初期化
SELECTED ROW INITIALIZE"
P101_HMI,MDAsset_ZFB,8,Data Source/Sink Comments,"選択行削除
SELECTED ROW DELETE"
P101_HMI,MDAsset_ZFB,10,Data Source/Sink Comments,"IOT仕様に合わせてMD識別記号と連番を分離
DIVIDE MD ID AND SN FOR IOT SPEC"
P101_HMI,MDAsset_ZFB,12,Data Source/Sink Comments,"設備機番出力
MACHINE NO OUTPUT"
P101_HMI,MDAsset_ZFB,13,Data Source/Sink Comments,"IOT転送インデックス初期値設定
ITO TRANSFER INDEX INITIAL SETTING"
P101_HMI,MDAsset_ZFB,14,Data Source/Sink Comments,"V2ｻｰﾊﾞへﾃﾞｰﾀ送信許可 データクリア
DATA CLEAR"
P101_HMI,MDAsset_ZFB,15,Data Source/Sink Comments,"■ALL_MD_IOTへ出力
■OUTPUT TO ALL_MD_IOT"
P101_HMI,MDAsset_ZFB,16,Data Source/Sink Comments,"MD識別記号、シリアルNO出力
MD IDENTIFICATION CODE, SERIAL NO OUTPUT"
P101_HMI,MDAsset_ZFB,17,Data Source/Sink Comments,"動作時間、動作回数出力
MOTION TIME, MOTION COUNT OUTPUT"
P101_HMI,MDAsset_ZFB,18,Data Source/Sink Comments,"アラーム出力
ALARM OUTPUT"
P101_HMI,MDAsset_ZFB,19,Data Source/Sink Comments,登録しているＭＤの異常がONしているかﾁｪｯｸ　CHECK REGISTERD MD FAULT BIT ON
P101_HMI,MDAsset_ZFB,21,Data Source/Sink Comments,"MD転送アドレス インデックス加算(1MD  30WORD)
ADD MD TRANSFER ADDRESS INDEX"
P101_HMI,MDAsset_ZFB,23,Data Source/Sink Comments,V2ｻｰﾊﾞへﾃﾞｰﾀ送信許可信号　PERMIT TO SEND DATA TO V2 SERVER
P101_HMI,HMI_Out,1,Data Source/Sink Comments,■ｸﾞﾛｰﾊﾞﾙ変数をHMI変数へ置換え =REPLACE GLOBAL VARIABLES WITH HMI VARIABLES
P101_HMI,HMI_Out,20,Data Source/Sink Comments,■ZAW 品番別生産ｶｳﾝﾀ
P101_HMI,MD_Out,1,Data Source/Sink Comments,■MD_OUTPUT
P111_sampleOK,MD_In,1,Data Source/Sink Comments,"■Main, 他機能MDからの信号
=FROM Main AND OTHER FUNCTION MD"
P111_sampleOK,DeviceIn,1,Data Source/Sink Comments,"■ｾﾝｻのﾀｲﾏ、LS合成等の入力信号処理回路
= TIMER OF SENSOR, LS COMPOSITION
        -LS COMPOSITION"
P111_sampleOK,DeviceIn,5,Data Source/Sink Comments,"■ｾﾝｻのﾀｲﾏ、LS合成等の入力信号処理回路
= TIMER OF SENSOR, LS COMPOSITION
        -TIMER OF SENSOR"
P111_sampleOK,Fault,1,Data Source/Sink Comments,"■機能MD内の異常処理を行う =FAULT OUTPUT IN THE FUNCTION MD
■異常ﾘｾｯﾄ =FAULT RESET"
P111_sampleOK,Fault,2,Data Source/Sink Comments,■緊急停止 =EMERGENCY STOP
P111_sampleOK,Fault,3,Data Source/Sink Comments,■自動停止 =AUTOMATIC STOP
P111_sampleOK,Fault,4,Data Source/Sink Comments,■ｻｲｸﾙ停止 =CYCLE STOP
P111_sampleOK,Fault,5,Data Source/Sink Comments,※ワーク状態異常検出
P111_sampleOK,Fault,6,Data Source/Sink Comments,■異常停止 =FAULT STOP
P111_sampleOK,Fault,7,Data Source/Sink Comments,■予告警報 =WARNING
P111_sampleOK,Fault,8,Data Source/Sink Comments,■動作異常 =MOTION FAULT
P111_sampleOK,Fault,9,Data Source/Sink Comments,■独立制御機器緊急停止 =INDEPENDENT DEVICE EMERGENCY STOP
P111_sampleOK,Fault,10,Data Source/Sink Comments,■独立制御機器警報 =INDEPENDENT DEVICE WARNING
P111_sampleOK,Fault,11,Data Source/Sink Comments,■緊急停止まとめ =EMERGENCY STOP TOTAL
P111_sampleOK,Fault,15,Data Source/Sink Comments,■自動停止まとめ =AUTOMATIC STOP TOTAL
P111_sampleOK,Fault,16,Data Source/Sink Comments,■ｻｲｸﾙ停止まとめ =CYCLE STOP TOTAL
P111_sampleOK,Fault,22,Data Source/Sink Comments,■異常停止まとめ =FAULT STOP TOTAL
P111_sampleOK,Fault,25,Data Source/Sink Comments,■予告警報まとめ =WARNING TOTAL
P111_sampleOK,Preparation,1,Data Source/Sink Comments,■機能MD内でのみ使用する機器の準備回路
P111_sampleOK,Preparation,2,Data Source/Sink Comments,■独立制御機器制御停止指令回路
P111_sampleOK,Condition,1,Data Source/Sink Comments,"■原位置
=Home position"
P111_sampleOK,Condition,2,Data Source/Sink Comments,"■起動条件
=Start condition"
P111_sampleOK,Individual,1,Data Source/Sink Comments,"■機能MDの各個運転回路
=IND 1 cycle"
P111_sampleOK,Individual,4,Data Source/Sink Comments,■IND
P111_sampleOK,Individual,6,Data Source/Sink Comments,=各個1-1-1
P111_sampleOK,Individual,12,Data Source/Sink Comments,=各個1-1-2
P111_sampleOK,Individual,18,Data Source/Sink Comments,=各個1-1-3
P111_sampleOK,Individual,24,Data Source/Sink Comments,=各個1-1-4
P111_sampleOK,Individual,30,Data Source/Sink Comments,=各個1-1-5
P111_sampleOK,Individual,36,Data Source/Sink Comments,=各個1-1-6
P111_sampleOK,Individual,42,Data Source/Sink Comments,=各個1-1-7
P111_sampleOK,Individual,48,Data Source/Sink Comments,=各個1-1-8
P111_sampleOK,Individual,54,Data Source/Sink Comments,=各個1-2-1
P111_sampleOK,Individual,60,Data Source/Sink Comments,=各個1-2-2
P111_sampleOK,Individual,66,Data Source/Sink Comments,=各個1-2-3
P111_sampleOK,Individual,72,Data Source/Sink Comments,=各個1-2-4
P111_sampleOK,Individual,78,Data Source/Sink Comments,=各個1-2-5
P111_sampleOK,Individual,84,Data Source/Sink Comments,=各個1-2-6
P111_sampleOK,Individual,90,Data Source/Sink Comments,=各個1-2-7
P111_sampleOK,Individual,96,Data Source/Sink Comments,=各個1-2-8
P111_sampleOK,AutoRun,1,Data Source/Sink Comments,"■機能MDの自動運転回路
=Auto run"
P111_sampleOK,AutoRun,7,Data Source/Sink Comments,■Output
P111_sampleOK,AutoRun,11,Data Source/Sink Comments,"■独立制御機器用
=For Independent Device Circuit"
P111_sampleOK,MemoryFeeding,1,Data Source/Sink Comments,■記憶送り回路 =Memoryfeeding
P111_sampleOK,MemoryFeeding,2,Data Source/Sink Comments,■ｸﾞﾘｯﾊﾟ搬送 記憶送り回路 =Gripper Trans. Memory Feeding
P111_sampleOK,HMI_Out,1,Data Source/Sink Comments,"■HMI_Out
HMI_Deviceのﾛｰｶﾙ変数をHMI変数へ置換"
P111_sampleOK,DeviceOut,1,Data Source/Sink Comments,"■DeviceOut
ﾊﾞﾙﾌﾞ、機器の出力回路"
P111_sampleOK,MD_Out,1,Data Source/Sink Comments,"■P/Fへの出力 =OUTPUT TO  P/F
■FUNCTION MD -> P/F"
P111_sampleOK,MD_Out,11,Data Source/Sink Comments,"■搬送工程より各機能MDへの出力 =OUTPUT FROM TRANSFER MD TO  EACH FUNCTION MD
■TRANSFER MD ->  FUNCTION MD"
